note,depth,environment,sample_type,title,description,decimalLatitude,decimalLongitude,locality,relativeOrganismQuantity,datasetKey,sequence_type,reference
,,mine,"biofilm, fluids","Abundance, diversity and distribution of Legionellales in wet environments in Sweden","In this study, 57 samples from water, soil and sediments were collected in different wet environments in Uppland, Sweden. 45 of them were taken from natural reserves, and 12 from a silver mine. The main objective was to study the abundance, diversity and distribution of members of the gammaproteobacterial order Legionellales.",60.29,16.89,NA,1.12E-05,c566cd39-824e-4139-8b98-55564dadca96,16s SSU,
,,mine,"biofilm, fluids","Abundance, diversity and distribution of Legionellales in wet environments in Sweden","In this study, 57 samples from water, soil and sediments were collected in different wet environments in Uppland, Sweden. 45 of them were taken from natural reserves, and 12 from a silver mine. The main objective was to study the abundance, diversity and distribution of members of the gammaproteobacterial order Legionellales.",60.34,17.03,NA,6.86E-06,c566cd39-824e-4139-8b98-55564dadca96,16s SSU,
,,other,,Geographically tagged INSDC sequences,NA,29.36,116.06,China,0,ad43e954-dd79-4986-ae34-9ccdbd8bf568,16s SSU,
,,other,,Geographically tagged INSDC sequences,NA,29.74,116.2,China,0,ad43e954-dd79-4986-ae34-9ccdbd8bf568,16s SSU,
,,other,,Geographically tagged INSDC sequences,NA,39.94,116.34,China,0,ad43e954-dd79-4986-ae34-9ccdbd8bf568,16s SSU,
,,other,,Geographically tagged INSDC sequences,NA,74.76,-94.08,"Canada:Cornwallis Island, NU",0,ad43e954-dd79-4986-ae34-9ccdbd8bf568,16s SSU,
acidic,surface,mine,fluids,the under-explored coal gangue and the adjacent acid mine drainage creek soil Raw sequence reads,"Microbial communities inhabiting the acid mine drainage (AMD) have been extensively studied. However, the microbial communities in the coal gangue that may generate the AMD and function as the seed bank of microbiota for AMD-related environments are still under-explored. In this study, we characterized the microbial communities within these under-explored extreme habitats and compared with those in the downstream AMD creek. In addition, the interplay between the microbiota and the environmental parameters was statistically investigated.",26.45,107.19,Fuquan from Guizhou province,5.79E-05,9e749f1b-3da9-4864-b7d0-1aab92c18342,16s SSU,
,surface,wastewater,sediment,"Effects of different types of wastewater on microbial degradation of 2,2'',4,4''-tetrabromodiphenyl ether (BDE-47) in anaerobic sediment.","Surface sediments (from 0 to 10 cm depth) were collected from the southern coastal area (30.9844? N, 120.1411? E) at Taihu Lake, with a low-level of PBDE contamination as reported previously.",30.98,120.14,Jiangsu,1.12E-04,6054f489-147b-4168-acbc-805f4158383b,16s SSU,
,"surface, subsurface",marine,"sediment, fluids",Bacterial communities from the water column and the surface sediments along a transect in the East Sea (Sea of Japan),"We determined the composition of water and sediment bacterial assemblages from the East Sea using 16S rRNA gene sequencing. Total bacterial reads were greater in surface waters (&lt;100 m) than in deep seawaters (&gt;500 m) and sediments. However, total OTUs, bacterial diversity, and evenness were greater in deep seawaters than in surface waters with those in the sediment comparable to the deep sea waters. Proteobacteria was the most dominant bacterial phylum comprising 67.3% of the total sequence reads followed by Bacteriodetes (15.8%). Planctomycetes, Verrucomicrobia, and Actinobacteria followed all together consisting of only 8.1% of the total sequence. Candidatus Pelagibacter ubique considered oligotrophic bacteria, and Planctomycetes copiotrophic bacteria showed an opposite distribution in the surface waters, suggesting a potentially direct competition for available resources by these bacteria with different traits. The bacterial community in the warm surface waters were well separated from the other deep cold seawater and sediment samples. The bacteria exclusively associated with deep sea waters was Actinobacteriacea, known to be prevalent in the deep photic zone. The bacterial group Chromatiales and Lutibacter were those exclusively associated with the sediment samples. The overall bacterial community showed similarities in the horizontal rather than vertical direction in the East Sea.",37.01,131.55,NA,7.80E-06,d9f1abed-656b-4b02-92bd-58a6d63167c8,16s SSU,
,,marine,fluids,EMOSE (2017) Inter-Comparison of Marine Plankton Metagenome Analysis Methods,EMOSE (2017) Inter-Comparison of Marine Plankton Metagenome Analysis Methods,42.49,3.17,NA,2.72E-06,20b968fd-b7e0-4002-9136-1ccfa8e5b9df,16s SSU,
,,marine,fluids,particle-attached and free-living bacteria kongsfjorden,particle attached and free-living bacteria kongsfjorden,78.93,12.14,"Svalbard,Kongsfjorden",4.04E-06,eb760660-436e-4069-ae46-12a5689658a1,16s SSU,
,,marine,fluids,Bacteria exposure experiment North Sea,Bacterial sequencing (V3-V4 16S rDNA region) of plastic debris exposed for 5 or 10 months at the North Sea environment,51.23,2.93,NA,2.68E-04,d5ffc321-09f2-48f0-95a8-9aeefc2145d2,16s SSU,
,,rock,fluids,Bacterial Biomarkers of Marcellus Shale Activity in Pennsylvania,"The goal of this study were to determine how hydraulic fracturing impacts bacteria in nearby streams by analyzing 16S rRNA data. Overall diversity and interactions among bacteria were examined to see how hydraulic fracturing may impact bacterial communities. Analysis was also done to identify pathways that were potentially enriched in streams near hydraulic fracturing and taxa that could be potential biomarkers for impacted streams. Therefore, this study generated data that increase our understanding of how hydraulic fracturing affects the surrounding environment.",41.51,-76.49,Sullivan,3.18E-05,fbb29a6e-8975-4138-b7e1-2aacd85b47b9,16s SSU,
,,rock,fluids,Bacterial Biomarkers of Marcellus Shale Activity in Pennsylvania,"The goal of this study were to determine how hydraulic fracturing impacts bacteria in nearby streams by analyzing 16S rRNA data. Overall diversity and interactions among bacteria were examined to see how hydraulic fracturing may impact bacterial communities. Analysis was also done to identify pathways that were potentially enriched in streams near hydraulic fracturing and taxa that could be potential biomarkers for impacted streams. Therefore, this study generated data that increase our understanding of how hydraulic fracturing affects the surrounding environment.",41.57,-76.64,Sullivan,3.28E-06,fbb29a6e-8975-4138-b7e1-2aacd85b47b9,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.52,6.57,NA,2.11E-05,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.53,6.54,NA,3.13E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.55,6.54,NA,5.48E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.56,6.48,NA,7.73E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.57,6.44,NA,1.13E-05,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.58,6.4,NA,8.21E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.59,6.67,NA,2.89E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,sediment,Microbial diversity in benthic stream sediment,The goal of this sequencing project is to identify putative methanotrophic organisms in benthic stream sediments.,46.64,6.48,NA,4.73E-06,773f9d05-e808-4ab9-86d8-d2e50be093d6,16s SSU,
,surface,river,fluids,Prokaryotic microbial communities structure in the headwater watchment of Dongjiang River in the south of China,Prokaryotic microbial communities structure in the headwater watchment of Dongjiang River in the south of China,24.29,115.22,Shanghai,0.006082389,4d14bc9c-8a73-4a3c-bb1e-692f4f8f5c96,16s SSU,
,,marine,sediment,Aarhus Bay Station M5 sediment metagenome sequencing,ANME-1 draft genome binned from Aarhus Bay M5 sediment metagenome samples (Bioproject PRJNA305566),56.1,10.46,Aarhus Bay Station M5,2.80E-04,aded4859-38ce-4f88-b6a0-2944eb355232,16s SSU,
iron-rich,,marine,sediment,Biological rejuvenation of iron oxides in bioturbated marine sediments,"This project seeked to understand the distribution of iron-oxidizing Zetaproteobacteria in coastal marine sediments, which could allude to their importance to the Fe cycle in these systems.",43.83,-69.81,NA,1.61E-05,f4f5a942-d771-4f5f-97ae-24324ea94cf4,16s SSU,
cold,surface,lake,sediment,16S rDNA metagenomes of Western Balkans glacial lakes sediments,"Since the Balkan Peninsula is situated in the climatic transition between the temperate zone and Mediterranean conditions, it can be assumed that this region will become dryer and warmer in the course of global climatic change. Potential vanishing of glaciers in this part of Europe could endanger existing glacial lakes, which points to the need of conservation and biodiversity studies of this ecological niche. The studies of microbial communities in glacial lakes, especially in southeast Europe are rare and even neglected. It is well recognized that unexplored ecological niches and metabolic potential as well as new molecular frameworks of their microbial communities could be a gold mine of secondary metabolites with importance for biotechnology, medicine and pharmacy. Our goal was to assess the bacterial communities from selected Western Balkans glacial lakes. Selection of lakes was based on exposure to anthropological influences. Thus we analyzed bacterial communities from Plav lake (designated as D in the project, located in the town of Plav), Black lake (designated as C in the project, outside of human settlements but tourist attraction) and Donje Bare lake (isolated lake without significant human impact, designated as Z in the project).",42.6,19.93,NA,0.004484888,fa15947b-542f-4f5a-8d26-44834ce41b6d,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.74,-93.41,Minnesota,8.15E-05,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.79,-93.15,Minnesota,2.96E-04,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.83,-93.38,Minnesota,9.83E-05,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.91,-93.57,Minnesota,5.28E-05,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.92,-93.24,Minnesota,6.84E-05,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.96,-93.33,Minnesota,1.16E-04,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",44.99,-93.06,Minnesota,4.33E-06,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",45.03,-93.15,Minnesota,5.20E-04,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",45.05,-93.09,Minnesota,1.65E-04,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
cold,surface,lake,"sediment, fluids","Microbial communities associated with Eurasian watermilfoil, water and sediment","Characterize microbial communities associated with Eurasian watermilfoil, water and sediment in freshwater lakes in Minnesota USA",45.08,-93.02,Minnesota,2.26E-04,52827ade-d745-4d26-b45f-6694adaede6f,16s SSU,
,,marine,fluids,ADDOMEx Tier 3 Experiments: Mesocosm Si with Gulf of Mexico coastal waters,"Here we describe microbial community dynamics in the Mesocosm-Si experiment. Using 16S rRNA gene sequencing of filtered water samples collected every 24 hours from the mesocosm treatments, we characterized community membership and structure to determine how the mesocosm communities responded to a passively dosed (via silicone tubing) water accomdated fraction of oil.",29.64,-93.64,Gulf of Mexico,5.93E-06,552346e7-47c0-425c-9fbd-cb0366759db1,16s SSU,
,,agricultural,soil,Soil metagenome from healthy and unhealthy agricultural soil,Soil samples were collected from healthy and unhealthy agricultural soil. Soil health was determined based on plant productivity and farmer's perception. DNA was extracted and subjected to metagenome sequencing.,60.56,22.64,NA,1.53E-05,7585b2f0-0150-4409-985d-7b57832e3dca,16s SSU,
cold,,marine,sediment,Arctic microbiome along Svalbard Cross Shelf transects,"Global worming and climate change has been manifested in the decrease of the Arctic Ocean see ice extent and thickness. The thinner sea-ice regime that the Arctic has been facing changed Arctic's primary productivity and biogeochemistry. Understand the dynamics of the microbial communities that feed Arctic phytoplankton and biologically derived carbon export will be worthwhile in order to draw future trends. In this study we present a comprehensive analysis of the biogeographic patters of Arctic microbiome diversity and distribution along two oceanographic transects in the Marginal Ice Zone around Svalbard, within strong environmental gradients (Ripfjorden, Kongsfjorden). A total of 11 stations were sample at three depths (surface, chlorophyll maximum and bottom) during the Norwegian Polar Institute MOSJ-ICE 2016 plankton-monitoring program. Samples were concentrated on board through Sterivex 0.2 mm filtration and preserved at -80ºC for later DNA extraction. Amplification of 16S rRNA and 18S rRNA genes were performed and sequenced in Illumina MiSeq with a sequence depth of about 100 thousand readpairs. The prokaryotic and eukaryotic MOSJ-ICE16 data sets collection comprises highly complex and diverse microbial communities with a marked biogeographic pattern of distribution. Strong links were identified between bacterioplanckton and phytoplankton/picophytoplankton distribution driven by environmental and biogeochemical forces, most relevant to unravel the role of microbial pathways in supporting Arctic Ocean Primary productivity and system integrity.",78.93,12.38,NA,1.24E-05,7c6b6f36-ecab-4ac7-b72c-30e8f501d06f,16s SSU,
,,marine,fluids,Microbial diversity in the Tongyeong-Geoje coastal area of Korea2,"Investigate the potential interactions among the bacterial species, phytoplankton, and environmental parameters",34.81,128.19,NA,1.28E-05,4c7d1e0e-d82c-4c67-8661-d2966adbab24,16s SSU,
,,marine,fluids,Sea spray aerosols at Three California Beaches,"While the diversity and identity of microorganisms in water and sand at the beach have been well documented, few studies have investigated microorganisms in sea spray aerosols (SSA) at the beach. We characterized the microbial communities in SSA, water, and sand of three beaches in central California (Cowell Beach, Baker Beach, and Lovers Point) by sequencing the V4 region of the 16S rRNA gene.",36.62,-121.92,Monterey,8.01E-06,da7627ca-3a28-4792-a015-3b23f5babe52,16s SSU,
,,marine,fluids,Sea spray aerosols at Three California Beaches,"While the diversity and identity of microorganisms in water and sand at the beach have been well documented, few studies have investigated microorganisms in sea spray aerosols (SSA) at the beach. We characterized the microbial communities in SSA, water, and sand of three beaches in central California (Cowell Beach, Baker Beach, and Lovers Point) by sequencing the V4 region of the 16S rRNA gene.",37.79,-122.49,San Francisco,5.48E-06,da7627ca-3a28-4792-a015-3b23f5babe52,16s SSU,
,,wetland,sediment,Temporal effect of plant diversity and oiling on nitrogen cycling in marsh sediments,"The effect of plant diversity on ecosystem recovery from oil spills and temporal effects on biogeochemical cycles needs to be investigated to identify key ecosystem processes as well as the various challenges associated with coastal ecosystem recovery. Oil spill effects on nitrogen cycling caused by either changes in species composition of primary producers or microbial community composition have also been documented. Although low to moderate oiling of coastal wetlands has been shown to impact ecosystem functions, studies focused on determining long term impacts of oil spills on marsh vegetation, microbial community composition and associated effects on nitrogen cycling are relatively limited. This project investigated temporal effects of plant diversity on denitrification and microbial community dynamics through mesocosm experiments. The mesocosms consisted of the black mangrove, Avicennia germinans, along with either a monoculture or polyculture of the smooth cord grass, Spartina alterniflora. The results presented were obtained using DNA extracted from replicate sediment cores sampled in April 2016, 6 months after the mesocosms were treated with oil to achieve a final concentration of 4000 ppm.",30.25,-88.07,NA,1.55E-05,93c02d72-d8ac-4396-8522-bd7c8dbbd62d,16s SSU,
,,marine,fluids,Biological Impacts of Ocean Acidification,Impacts of ocean acidification and warming on marine macroalgae and its microbiota,54.33,10.15,Kiel,2.83E-05,e888b05a-cd6b-4b00-bee6-dc185d9e8c24,16s SSU,
,,marine,"eukaryote, fluids",Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",25.66,-80.09,"Miami, Florida",6.32E-06,fe3fae72-6524-4bbe-9026-93b42c69b95e,16s SSU,
,,marine,"eukaryote, fluids",Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",25.71,-80.09,"Miami, Florida",4.82E-06,fe3fae72-6524-4bbe-9026-93b42c69b95e,16s SSU,
,,marine,"eukaryote, fluids",Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",25.74,-80.09,"Miami, Florida",5.30E-06,fe3fae72-6524-4bbe-9026-93b42c69b95e,16s SSU,
,,marine,"eukaryote, fluids",Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",25.84,-80.1,"Miami, Florida",5.65E-06,fe3fae72-6524-4bbe-9026-93b42c69b95e,16s SSU,
,,marine,"eukaryote, fluids",Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",25.9,-80.12,"Miami, Florida",5.99E-06,fe3fae72-6524-4bbe-9026-93b42c69b95e,16s SSU,
,,lake,sediment,Microbial community response on waste water discharge in recipient freshwater sediments,"In this study, we examined how nitrified wastewater affects the microbiology of boreal lakes sediments. Microbial community compositions were assessed with next generation sequencing of the 16S rRNA gene",62.15,25.1,NA,0.002190867,e50342e7-f2b2-496a-a033-2ce857eb06c4,16s SSU,
,,lake,sediment,Microbial community response on waste water discharge in recipient freshwater sediments,"In this study, we examined how nitrified wastewater affects the microbiology of boreal lakes sediments. Microbial community compositions were assessed with next generation sequencing of the 16S rRNA gene",62.25,24.15,NA,0.021061547,e50342e7-f2b2-496a-a033-2ce857eb06c4,16s SSU,
,,lake,fluids,"BACTERIAL COMMUNITIES IN THE ACID AND THERMOPHILIC CRATER-LAKE OF THE VOLCANO ""EL CHICHON"", MEXICO",NA,17.36,-93.23,Chiapas,6.61E-06,41d9a07d-e6d5-4128-94ae-1987e802b00d,16s SSU,
cold,,marine,fluids,Shotgun Metagenomic Sequencing of the Arctic Ocean during Winter-Spring Transition,Shotgun Metagenomic Sequencing of the Arctic Ocean during Winter-Spring Transition,80.72,7.99,NA,5.80E-05,79c59307-5753-4ad6-a1a3-44e920a91bb3,16s SSU,
cold,,marine,fluids,Shotgun Metagenomic Sequencing of the Arctic Ocean during Winter-Spring Transition,Shotgun Metagenomic Sequencing of the Arctic Ocean during Winter-Spring Transition,83.17,22.29,NA,1.26E-04,79c59307-5753-4ad6-a1a3-44e920a91bb3,16s SSU,
,,marine,sediment,Sediment surface microbial community changes due to phytoplankton addition,Changes in microbial community in the sediment surface after addition of phytoplankton biomass.,57.89,16.6,Coastal Baltic Sea sediment,1.77E-04,53b2eff2-5b6f-494d-a23f-383ddfd265f0,16s SSU,
,,wastewater,fluids,Uncultured Environmental Isolate Targeted loci environmental,This study highlights the potential for microbial activity to help remove chelating agents and radionuclides from groundwater during radioactive waste geodisposal.,53.24,-1.91,NA,4.97E-06,9b2ee681-59b3-43d1-9872-2bdaf619fc2b,16s SSU,
,,wastewater,fluids,Uncultured Environmental Isolate Targeted loci environmental,This study highlights the potential for microbial activity to help remove chelating agents and radionuclides from groundwater during radioactive waste geodisposal.,53.45,-2.51,NA,2.42E-04,9b2ee681-59b3-43d1-9872-2bdaf619fc2b,16s SSU,
,surface,agricultural,soil,Soil microbial distribution,Soil microbial distribution in agricultural lands,36.61,128.29,NA,1.30E-04,cba037aa-5d20-4d0c-9bcb-04e2e9453c7e,16s SSU,
,,freshwater,sediment,Freshwater sediment Raw sequence reads,The study aims to find out the changes in microbial community structure of anode biofilm and sediment in sediment microbial fuel cells. The samples include original freshwater sediment that used in SMFCs and anode biofilm of SMFCs in which worms were observed or not.,39.12,117.18,Tianjin,5.30E-05,8a3edfa1-5a1f-42bb-a32e-95d459d3b773,16s SSU,
,,wetland,sediment,XRCWU sediment metagenome Metagenome,To investigate the influence of wetland types on the composition and structure of microbial communities.,34.76,117.14,"Xinxue River Constructed Wetland, Jining",5.56E-05,debc1994-2b92-4b92-8183-a2664f0f5c30,16s SSU,
,,marine,sediment,estuary metagenome Raw sequence reads,Anaerobic Dechlorination of Tetrachlorobisphenol A,23.53,113.04,Qingyuan,3.35E-05,5e86deb2-c1aa-48bf-9d70-38ccb54f715d,16s SSU,
,,marine,sediment,estuary metagenome Raw sequence reads,Anaerobic Dechlorination of Tetrachlorobisphenol A,23.57,113.09,Qingyuan,2.19E-05,5e86deb2-c1aa-48bf-9d70-38ccb54f715d,16s SSU,
,,marine,sediment,estuary metagenome Raw sequence reads,Anaerobic Dechlorination of Tetrachlorobisphenol A,23.57,113.1,Qingyuan,2.21E-05,5e86deb2-c1aa-48bf-9d70-38ccb54f715d,16s SSU,
,surface,wetland,sediment,XRU sediment metagenome Metagenome,To investigate the influence of wetland types on the composition and structure of microbial communities.,34.81,117.17,"Xinxue River, Jining",4.93E-05,91f232c7-607a-42a2-b823-78869187fe50,16s SSU,
,,marine,sediment,sediment metagenome Raw sequence reads,The goal of the project is to differentiate storm and tsunami deposits by characterizing the microbial assemblage found in them.,9.13,98.26,Phra Thong Island,4.45E-05,1cffb119-4c27-43cd-b62d-fe8fabbaa628,16s SSU,
,,marine,sediment,sediment metagenome Raw sequence reads,The goal of the project is to differentiate storm and tsunami deposits by characterizing the microbial assemblage found in them.,9.14,98.27,Phra Thong Island,1.95E-04,1cffb119-4c27-43cd-b62d-fe8fabbaa628,16s SSU,
,,freshwater,fluids,Patagonian fjord prokaryote community,Time series of prokaryote community composition in waters of a Patagonian fjord,-44.59,-72.72,Ptagonian fjords,2.58E-05,813da395-d324-44d8-9e7f-e9b10190a998,16s SSU,
,,marine,fluids,Bacteria community in the southern East China Sea,Bacterial 16S rDNA sequences in the southern East China Sea,25.25,122.68,the East China Sea,1.33E-06,e3d81244-4408-46a4-a88f-690cb19f44e9,16s SSU,
,,lake,sediment,"Effects of organic matter manipulation on archaeal, bacterial, and fungal community assembly","Community assembly is not only important for community structure, it is also a strong predictor of ecosystem functioning. Understanding how communities initially form and colonize lake sediments – where essential functions like carbon cycling occur – is therefore important for whole-ecosystem processes. Here, we tested for the deterministic processes that drive assembly order. Is this order primarily determined by the sediment (i.e. dispersal limitation) or by the lake conditions (i.e. mass effects)? What influences how rapidly this environmental filtering occurs? Do communities become more interconnected with time because of the sediment or lake conditions? Artificial mesocosms were created with varying levels and types of terrestrial organic matter. The mesocosms were placed at the bottom of three lakes. We sampled the sediment monthly over a three-month period to characterize microbial communities.",46.37,-81.06,NA,3.55E-05,cb6a5492-a37b-4b63-846d-6f38ab009065,16s SSU,
,,lake,sediment,"Effects of organic matter manipulation on archaeal, bacterial, and fungal community assembly","Community assembly is not only important for community structure, it is also a strong predictor of ecosystem functioning. Understanding how communities initially form and colonize lake sediments – where essential functions like carbon cycling occur – is therefore important for whole-ecosystem processes. Here, we tested for the deterministic processes that drive assembly order. Is this order primarily determined by the sediment (i.e. dispersal limitation) or by the lake conditions (i.e. mass effects)? What influences how rapidly this environmental filtering occurs? Do communities become more interconnected with time because of the sediment or lake conditions? Artificial mesocosms were created with varying levels and types of terrestrial organic matter. The mesocosms were placed at the bottom of three lakes. We sampled the sediment monthly over a three-month period to characterize microbial communities.",46.46,-80.93,NA,1.88E-04,cb6a5492-a37b-4b63-846d-6f38ab009065,16s SSU,
,,lake,sediment,"Effects of organic matter manipulation on archaeal, bacterial, and fungal community assembly","Community assembly is not only important for community structure, it is also a strong predictor of ecosystem functioning. Understanding how communities initially form and colonize lake sediments – where essential functions like carbon cycling occur – is therefore important for whole-ecosystem processes. Here, we tested for the deterministic processes that drive assembly order. Is this order primarily determined by the sediment (i.e. dispersal limitation) or by the lake conditions (i.e. mass effects)? What influences how rapidly this environmental filtering occurs? Do communities become more interconnected with time because of the sediment or lake conditions? Artificial mesocosms were created with varying levels and types of terrestrial organic matter. The mesocosms were placed at the bottom of three lakes. We sampled the sediment monthly over a three-month period to characterize microbial communities.",46.48,-80.94,NA,0.001547027,cb6a5492-a37b-4b63-846d-6f38ab009065,16s SSU,
hydrocarbons,surface,river,sediment,Microbial community in PAH-contaminated riverine sediments,Co-occurrence patterns of microbial community,31.03,120.39,Suzhou,8.26E-04,2a8dde51-80f0-496b-8d2b-f74670b1d042,16s SSU,
